ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-07,148411,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-09,148411,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-08,148411,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-10,148411,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2023-05,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-06,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-03,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-09,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-12,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-02,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-10,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-11,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-04,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-01,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-07,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2024-02,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-08,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2024-01,92793,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-06,92822,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-07,92822,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-11,92822,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2023-08,92822,CONDICIONADOR MAMÃE E BEBÊ - 200ML,CABELO
2024-08,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-11,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-07,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-06,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-02,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-10,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-09,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-03,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-04,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-05,92793,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-03,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-05,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-11,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-06,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-10,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-04,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-08,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-07,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-09,92822,CONDICIONADOR MAMÃE E BEBÊ 200 ML,CABELOS
2024-06,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-08,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-09,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-10,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-11,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-05,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-03,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-02,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-07,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-04,112027,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-07,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-11,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-08,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-09,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-10,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-06,148409,CONDICIONADOR NUTRITIVO PARA CABELOS CRESPOS LUMINA 300 ML,CABELOS
2024-11,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-04,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-10,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-09,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-02,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-08,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-03,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-05,126944,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-09,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-07,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-10,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-11,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-06,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-08,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-05,148433,CONDICIONADOR PROTETOR PARA CABELOS OPACOS OU COM COLORAÇÃO LUMINA 300 ML,CABELOS
2024-09,148442,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,LUMINA
2024-11,148442,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,LUMINA
2024-10,148442,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,LUMINA
2024-08,148442,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,LUMINA
2024-02,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-08,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-04,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-10,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-11,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
