ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2023-5,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-06,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2024-08,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-03,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-09,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-10,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-07,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-06,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-4,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-05,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ 400 ML,CORPO E BANHO
2024-04,100605,TODODIA RF DES HID CEREJA E AV,CORPO E BANHO
2024-03,100605,TODODIA RF DES HID CEREJA E AV,CORPO E BANHO
